State Bucket,Draw Call #,GPUTime (ms),GPUBusy (%),TessellatorBusy (%),VSBusy (%),VSTime (ms),HSBusy (%),HSTime (ms),DSBusy (%),DSTime (ms),GSBusy (%),GSTime (ms),PSBusy (%),PSTime (ms),CSBusy (%),CSTime (ms),PrimitiveAssemblyBusy (%),TexUnitBusy (%),DepthStencilTestBusy (%),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusy (%),VSSALUBusy (%),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusy (%),HSSALUBusy (%),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusy (%),GSSALUBusy (%),PSPixelsOut,PSExportStalls (%),PSVALUInstCount,PSSALUInstCount,PSVALUBusy (%),PSSALUBusy (%),TexTriFilteringPct (%),TexVolFilteringPct (%),TexAveAnisotropy,State Hash
glDrawArrays,164,0.0016,100,1.20675,32.5226,0.000520362,0,0,0,0,0,0,92.6563,0.0014825,0,0,17.0416,11.2108,0.0931133,36,202,7,0.0470222,0.00325897,0,0,0,0,0,0,0,0,0,0,0,763,0,34,4,0.129321,0.0304284,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,184,0.00144,100,1.20009,31.9764,0.000460461,0,0,0,0,0,0,100,0.00144,0,0,16.7494,11.9194,0.103711,36,202,7,0.0467627,0.00324098,0,0,0,0,0,0,0,0,0,0,0,759,0,34,4,0.191086,0.0449613,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,206,0.00144,100,0.884473,23.2693,0.000335078,0,0,0,0,0,0,100,0.00144,0,0,12.2093,72.9908,1.14244,36,202,7,0.0344644,0.00238862,0,0,0,0,0,0,0,0,0,0,0,5780,0,34,4,0.761222,0.179111,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,246,0.00128,100,0.714475,18.605,0.000238144,0,0,0,0,0,0,100,0.00128,0,0,9.75346,59.082,0.557908,36,202,7,0.0278403,0.00192952,0,0,0,0,0,0,0,0,0,0,0,4191,0,34,4,0.563829,0.132666,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,126,0.00128,100,0.768209,20.2627,0.000259363,0,0,0,0,0,0,100,0.00128,0,0,10.6162,63.3796,1.39771,36,202,7,0.0299341,0.00207464,0,0,0,0,0,0,0,0,0,0,0,5867,0,34,4,1.11774,0.262998,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,224,0.00128,100,0.968523,26.1232,0.000334377,0,0,0,0,0,0,67.7698,0.000867454,0,0,13.6789,12.5893,0.0567961,36,202,7,0.0377395,0.00261561,0,0,0,0,0,0,0,0,0,0,0,608,0,34,4,0.144125,0.0339117,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,144,0.00128,100,1.11195,28.8318,0.000369047,0,0,0,0,0,0,88.2381,0.00112945,0,0,15.1383,20.5007,0.118402,36,202,7,0.0433283,0.00300295,0,0,0,0,0,0,0,0,0,0,0,835,0,34,4,0.207269,0.0487693,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,147,0.00112,100,0.849413,23.4611,0.000262764,0,0,0,0,0,0,100,0.00112,0,0,12.285,79.8527,4.34669,36,202,7,0.0330983,0.00229394,0,0,0,0,0,0,0,0,0,0,0,12929,0,34,4,1.60679,0.378069,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,648,0.00112,100,1.89929,51.2222,0.000573689,0,0,0,0,0,0,0,0,0,0,26.8451,0.389824,0.011724,36,202,7,0.0740079,0.00512926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>3</Attachment></Depth><FBO>2</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,166,0.00112,100,0.600211,16.315,0.000182728,0,0,0,0,0,0,100,0.00112,0,0,8.52893,55.263,1.25137,36,202,7,0.0233879,0.00162094,0,0,0,0,0,0,0,0,0,0,0,6197,0,34,4,1.15104,0.270833,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
glDrawArrays,265,0.00112,100,0.950314,25.0719,0.000280805,0,0,0,0,0,0,28.2779,0.000316713,0,0,13.1504,0.306506,0.0146653,36,202,7,0.03703,0.00256643,0,0,0,0,0,0,0,0,0,0,0,154,0,34,4,0.0493899,0.0116212,0,0,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>2</FS><GS>0x0000000000000000</GS><Program>3</Program><Stencil><Enabled>1</Enabled><Attachment>1</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>1</VS></hash>
